B1,B2,B3,B4,B5,B6_VCID_2,B7,system:index,STATE,ELEV_IN_FT,POP_2010,id
42,42,44,49,52,203,46,0,ND,1611,40888,53
38,35,36,53,53,203,40,1,ND,830,52838,101
38,38,40,49,54,200,45,2,ND,1407,15427,153
40,38,39,49,49,206,38,3,ND,902,105549,177
39,41,44,50,57,205,48,4,ND,2411,17787,192
40,38,38,42,41,204,35,5,ND,1647,18331,199
37,33,33,44,38,203,28,6,ME,115,33039,238
35,29,27,32,29,199,23,7,NY,138,19989,296
30,26,22,57,36,200,23,8,NY,295,11128,297
31,27,24,60,41,201,24,9,ME,121,19136,302
35,31,29,34,28,199,22,10,ME,108,15722,305
37,36,36,57,44,201,32,11,WI,758,14570,308
33,31,28,66,50,200,32,12,WI,594,11346,309
34,30,29,32,31,202,26,13,SD,1480,13646,313
39,37,37,47,44,206,33,14,ME,190,23055,319
37,32,32,37,30,203,25,15,ME,217,36592,320
31,28,25,63,46,203,26,16,ME,62,66194,327
30,26,21,55,38,200,20,17,ME,23,25002,328
36,32,32,39,37,201,28,18,ME,66,17494,329
46,45,46,53,43,204,30,19,ME,69,21277,342
31,27,26,51,38,199,26,20,ME,66,18482,343
35,29,27,32,23,199,19,21,NY,344,14700,345
34,29,27,38,32,200,25,22,NY,361,11896,347
35,31,30,44,36,201,25,23,NY,285,18142,348
28,23,19,57,35,199,17,24,NY,456,33725,349
36,31,30,35,28,199,22,25,NY,686,27687,367
39,33,30,39,34,200,24,26,NY,299,26586,369
30,25,22,34,24,194,18,27,NY,614,21165,370
37,34,33,43,38,202,31,28,NY,614,50193,371
37,33,32,45,40,203,31,29,NY,574,31568,372
38,34,34,41,40,203,32,30,NY,505,210565,373
33,31,30,59,46,203,30,31,MI,643,72125,374
38,35,33,51,38,203,25,32,NY,820,15665,375
38,33,29,43,36,202,28,33,NY,492,10224,377
32,27,26,42,31,202,23,34,NY,397,145170,378
42,41,43,52,54,202,44,35,IA,1129,28079,380
39,37,37,50,49,205,38,36,IA,1319,11233,381
45,40,39,58,49,203,34,37,NY,430,11393,384
37,33,31,47,40,202,29,38,NY,892,15465,385
39,39,41,66,59,200,39,39,NY,600,261310,386
31,29,25,54,43,202,25,40,NY,623,18141,387
31,27,23,51,34,195,23,41,NY,361,18620,391
30,27,24,70,43,200,25,42,NY,787,10545,392
30,29,26,49,39,187,25,43,NY,443,13261,393
40,36,33,51,37,200,25,44,NY,243,66135,395
33,30,28,68,49,202,29,45,IA,1421,10600,397
32,27,24,43,31,203,21,46,NY,1112,13901,405
36,34,35,57,54,204,39,47,MI,932,13498,407
32,26,25,28,25,197,20,48,MA,43,76377,408
33,29,27,40,32,204,23,49,MA,36,90329,409
35,30,28,39,30,197,21,50,MA,13,41340,410
35,31,29,45,40,203,30,51,MA,30,39502,411
31,26,23,45,29,197,18,52,MA,56,28789,412
29,24,19,46,27,195,16,53,MA,36,17416,413
29,22,18,42,25,193,14,54,MA,23,51251,414
38,36,35,58,50,201,34,55,WI,715,26197,416
36,30,29,56,41,200,27,56,NY,148,97856,417
39,35,33,38,35,202,28,57,NY,98,16168,418
40,29,28,37,30,203,30,58,NY,1129,19204,419
50,50,50,73,59,201,38,59,MA,722,13708,423
31,25,21,32,25,194,15,60,MA,66,41667,425
51,48,50,75,81,200,60,61,MA,118,106519,426
34,30,27,48,34,200,24,62,MA,390,38499,427
34,28,27,33,24,193,21,63,MA,66,60632,428
30,24,20,43,25,193,15,64,MA,16,105162,429
37,31,29,35,32,205,26,65,MA,16,59450,430
34,32,29,54,42,204,27,66,MA,16,56173,431
28,23,18,54,33,195,17,67,MA,59,26983,432
29,26,24,57,38,201,22,68,MA,98,85146,433
37,33,31,35,27,192,21,69,MA,479,181045,434
37,33,32,46,35,200,25,70,MA,453,40318,435
39,36,35,47,41,202,31,71,MA,1070,20228,436
34,29,27,45,29,203,19,72,MA,390,40759,437
36,32,32,38,37,202,29,73,IA,620,57637,438
38,35,34,66,52,201,34,74,IA,1115,25206,439
39,40,42,71,66,204,44,75,IA,856,68406,440
39,35,34,44,38,200,28,76,NY,410,30014,442
36,33,32,44,38,204,29,77,NY,932,11183,443
33,28,25,46,36,201,24,78,NY,617,12563,445
32,31,28,60,48,201,32,79,NY,1378,31146,446
31,29,26,66,40,200,24,80,IA,1201,82684,447
27,20,16,47,25,186,12,81,MA,249,28549,451
34,31,30,40,39,203,30,82,NY,1447,14452,452
28,21,18,17,16,191,12,83,MA,46,617594,455
31,25,22,28,22,194,16,84,MA,39,35177,456
31,26,22,52,32,195,18,85,MA,10,51755,457
40,36,36,43,44,204,36,86,MI,725,19435,459
32,25,23,37,29,201,20,87,NY,866,47376,460
40,40,39,48,50,203,40,88,MA,30,92271,461
33,27,25,36,28,192,19,89,MA,85,55298,462
